make,fuel-type,aspiration,body-style,drive-wheels,engine-type,fuel-system,curb-weight,power-weight,price
audi,gas,std,sedan,fwd,ohc,mpfi,2337,22.9,13950
audi,gas,std,sedan,4wd,ohc,mpfi,2824,24.6,17450
audi,gas,std,sedan,fwd,ohc,mpfi,2844,25.9,17710
audi,gas,turbo,sedan,fwd,ohc,mpfi,3086,22.0,23875
bmw,gas,std,sedan,rwd,ohc,mpfi,2395,23.7,16430
bmw,gas,std,sedan,rwd,ohc,mpfi,2395,23.7,16925
bmw,gas,std,sedan,rwd,ohc,mpfi,2710,22.4,20970
bmw,gas,std,sedan,rwd,ohc,mpfi,2765,22.9,21105
chevrolet,gas,std,hatchback,fwd,l,2bbl,1488,31.0,5151
chevrolet,gas,std,hatchback,fwd,ohc,2bbl,1874,26.8,6295
chevrolet,gas,std,sedan,fwd,ohc,2bbl,1909,27.3,6575
dodge,gas,std,hatchback,fwd,ohc,2bbl,1876,27.6,5572
dodge,gas,std,hatchback,fwd,ohc,2bbl,1876,27.6,6377
dodge,gas,turbo,hatchback,fwd,ohc,mpfi,2128,20.9,7957
dodge,gas,std,hatchback,fwd,ohc,2bbl,1967,28.9,6229
dodge,gas,std,sedan,fwd,ohc,2bbl,1989,29.2,6692
dodge,gas,std,sedan,fwd,ohc,2bbl,1989,29.2,7609
dodge,gas,turbo,sedan,fwd,ohc,mpfi,2191,21.5,8558
dodge,gas,std,wagon,fwd,ohc,2bbl,2535,28.8,8921
dodge,gas,turbo,hatchback,fwd,ohc,mfi,2811,19.4,12964
honda,gas,std,hatchback,fwd,ohc,1bbl,1713,29.5,6479
honda,gas,std,hatchback,fwd,ohc,1bbl,1819,23.9,6855
honda,gas,std,hatchback,fwd,ohc,1bbl,1837,30.6,5399
honda,gas,std,hatchback,fwd,ohc,1bbl,1940,25.5,6529
honda,gas,std,hatchback,fwd,ohc,1bbl,1956,25.7,7129
honda,gas,std,sedan,fwd,ohc,1bbl,2010,26.4,7295
honda,gas,std,wagon,fwd,ohc,1bbl,2024,26.6,7295
honda,gas,std,hatchback,fwd,ohc,1bbl,2236,26.0,7895
honda,gas,std,hatchback,fwd,ohc,1bbl,2289,26.6,9095
honda,gas,std,sedan,fwd,ohc,1bbl,2304,26.8,8845
honda,gas,std,sedan,fwd,ohc,1bbl,2372,27.6,10295
honda,gas,std,sedan,fwd,ohc,mpfi,2465,24.4,12945
honda,gas,std,sedan,fwd,ohc,2bbl,2293,22.9,10345
jaguar,gas,std,sedan,rwd,dohc,mpfi,4066,23.1,32250
jaguar,gas,std,sedan,rwd,dohc,mpfi,4066,23.1,35550
mazda,gas,std,hatchback,fwd,ohc,2bbl,1890,27.8,5195
mazda,gas,std,hatchback,fwd,ohc,2bbl,1900,27.9,6095
mazda,gas,std,hatchback,fwd,ohc,2bbl,1905,28.0,6795
mazda,gas,std,sedan,fwd,ohc,2bbl,1945,28.6,6695
mazda,gas,std,sedan,fwd,ohc,2bbl,1950,28.7,7395
mazda,gas,std,hatchback,rwd,rotor,4bbl,2380,23.6,10945
mazda,gas,std,hatchback,rwd,rotor,4bbl,2380,23.6,11845
mazda,gas,std,hatchback,rwd,rotor,4bbl,2385,23.6,13645
mazda,gas,std,hatchback,rwd,rotor,mpfi,2500,18.5,15645
mazda,gas,std,hatchback,fwd,ohc,2bbl,2385,28.4,8845
mazda,gas,std,sedan,fwd,ohc,2bbl,2410,28.7,8495
mazda,gas,std,hatchback,fwd,ohc,2bbl,2385,28.4,10595
mazda,gas,std,sedan,fwd,ohc,2bbl,2410,28.7,10245
mazda,gas,std,hatchback,fwd,ohc,2bbl,2425,28.9,11245
mazda,gas,std,sedan,rwd,ohc,mpfi,2670,22.2,18280
mercedes-benz,diesel,turbo,sedan,rwd,ohc,idi,3515,28.6,25552
mercedes-benz,diesel,turbo,wagon,rwd,ohc,idi,3750,30.5,28248
mercedes-benz,diesel,turbo,hardtop,rwd,ohc,idi,3495,28.4,28176
mercedes-benz,diesel,turbo,sedan,rwd,ohc,idi,3770,30.7,31600
mercedes-benz,gas,std,convertible,rwd,ohcv,mpfi,3685,23.8,35056
mitsubishi,gas,std,hatchback,fwd,ohc,2bbl,1918,28.2,5389
mitsubishi,gas,std,hatchback,fwd,ohc,2bbl,1944,28.6,6189
mitsubishi,gas,std,hatchback,fwd,ohc,2bbl,2004,29.5,6669
mitsubishi,gas,turbo,hatchback,fwd,ohc,spdi,2145,21.0,7689
mitsubishi,gas,turbo,hatchback,fwd,ohc,spdi,2370,20.4,9959
mitsubishi,gas,std,hatchback,fwd,ohc,2bbl,2328,26.5,8499
mitsubishi,gas,std,sedan,fwd,ohc,2bbl,2365,26.9,6989
mitsubishi,gas,std,sedan,fwd,ohc,2bbl,2405,27.3,8189
mitsubishi,gas,turbo,sedan,fwd,ohc,spdi,2403,20.7,9279
mitsubishi,gas,std,sedan,fwd,ohc,spdi,2403,20.7,9279
nissan,gas,std,sedan,fwd,ohc,2bbl,1889,27.4,5499
nissan,diesel,std,sedan,fwd,ohc,idi,2017,36.7,7099
nissan,gas,std,sedan,fwd,ohc,2bbl,1918,27.8,6649
nissan,gas,std,sedan,fwd,ohc,2bbl,1938,28.1,6849
nissan,gas,std,wagon,fwd,ohc,2bbl,2024,29.3,7349
nissan,gas,std,sedan,fwd,ohc,2bbl,1951,28.3,7299
nissan,gas,std,hatchback,fwd,ohc,2bbl,2028,29.4,7799
nissan,gas,std,sedan,fwd,ohc,2bbl,1971,28.6,7499
nissan,gas,std,wagon,fwd,ohc,2bbl,2037,29.5,7999
nissan,gas,std,hardtop,fwd,ohc,2bbl,2008,29.1,8249
nissan,gas,std,hatchback,fwd,ohc,2bbl,2324,24.0,8949
nissan,gas,std,sedan,fwd,ohc,2bbl,2302,23.7,9549
nissan,gas,std,sedan,fwd,ohcv,mpfi,3095,20.4,13499
nissan,gas,std,wagon,fwd,ohcv,mpfi,3296,21.7,14399
nissan,gas,std,sedan,fwd,ohcv,mpfi,3060,20.1,13499
